,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros (tecnología),Total (tecnología),HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros (velocidad),Total (velocidad)
43,2014,2,Santa Cruz,18.956,448,381,4.118,3.266,27.169,153.0,1.637,25.374,2.0,0.0,0.0,0,0.0,27.166
44,2014,2,Santa Fe,324.101,178.495,3.085,6.041,636.0,512.358,8.515,115.197,353.559,23.939,10.058,34.0,792,0.0,512.094
45,2014,2,Santiago Del Estero,32.820,4.231,19,907,34.0,38.011,1.231,9.914,23.842,2.867,142.0,0.0,0,0.0,37.996
46,2014,2,Tierra Del Fuego,21.618,3.008,648,1,2.934,28.209,12.0,334.0,31.198,2.0,0.0,0.0,0,0.0,31.546
47,2014,2,Tucumán,131.740,97,121,13,98.0,132.069,6.0,32.714,84.675,14.101,559.0,4.0,0,0.0,132.059
48,2014,3,Buenos Aires,1.562.533,1.110.628,124.474,20.049,31.881,2.849.565,7.355,128.187,2.281.524,156.693,68.947,243.0,4.232,0.0,2.647.181
49,2014,3,Capital Federal,450.155,833.402,17.886,1.995,14.387,1.317.825,840.0,78.016,1.060.145,102.17,70.907,95.0,6.626,0.0,1.318.799
50,2014,3,Catamarca,24.380,244,15,- 0,47.0,24.686,19.0,8.845,13.790,1.915,111.0,0.0,0,0.0,24.680
51,2014,3,Chaco,53.321,10.336,29,1,59.0,63.746,398.0,14.731,41.934,5.428,1.274,5.0,0,0.0,63.770
52,2014,3,Chubut,49.219,668,882,11.853,6.515,69.137,2.013,6.281,60.771,34.0,0.0,0.0,0,0.0,69.099
53,2014,3,Corrientes,52.957,9.184,31,1.312,65.0,63.549,21.0,15.448,41.717,5.181,1.172,0.0,0,0.0,63.539
54,2014,3,Córdoba,340.212,240.334,444,4.064,377.0,585.431,660.0,98.992,435.692,28.992,18.888,84.0,664,0.0,583.972
55,2014,3,Entre Ríos,108.907,22.440,48,5.203,135.0,136.733,1.709,29.71,91.450,12.569,1.31,0.0,48,0.0,136.796
56,2014,3,Formosa,21.021,4.836,- 0,- 0,80.0,25.937,2.001,8.323,14.202,1.324,85.0,0.0,0,0.0,25.935
57,2014,3,Jujuy,30.128,3.541,22,37,13.0,33.741,127.0,10.979,20.216,2.305,82.0,0.0,0,0.0,33.709
58,2014,3,La Pampa,16.051,33.940,538,11.219,677.0,62.425,6.458,6.645,41.009,24.0,5.0,4.0,10,0.0,54.155
59,2014,3,La Rioja,15.864,- 0,14,1,37.0,15.916,10.0,4.785,9.720,1.337,61.0,0.0,0,0.0,15.913
60,2014,3,Mendoza,150.120,13.030,2.512,40,2.222,167.924,35.0,0.0,167.763,31.0,12.0,13.0,1,0.0,167.855
61,2014,3,Misiones,56.933,18.373,4,3,14.0,75.327,640.0,13.637,53.510,5.928,1.606,0.0,1,0.0,75.322
62,2014,3,Neuquén,54.458,30.964,1.000,12.858,3.087,102.367,1.522,3.099,80.090,107.0,2.865,10.0,27,0.0,87.720
63,2014,3,Río Negro,65.264,26.590,888,3.533,1.505,97.780,3.64,5.189,86.868,87.0,1.944,8.0,9,0.0,97.745
64,2014,3,Salta,73.828,18.394,43,109,580.0,92.954,732.0,17.481,66.026,8.314,388.0,0.0,0,0.0,92.941
65,2014,3,San Juan,48.272,451,731,1.199,1.126,51.779,8.0,487.0,51.276,0.0,0.0,0.0,0,0.0,51.771
66,2014,3,San Luis,11.303,925,355,25,438.0,13.046,8.0,0.0,13.029,0.0,0.0,3.0,0,0.0,13.040
67,2014,3,Santa Cruz,17.862,492,385,4.273,3.098,26.110,195.0,1.624,24.248,1.0,1.0,0.0,0,0.0,26.069
68,2014,3,Santa Fe,325.577,183.630,4.407,6.540,733.0,520.887,8.23,112.593,357.615,23.962,12.124,38.0,806,0.0,515.368
69,2014,3,Santiago Del Estero,32.820,3.900,19,768,41.0,37.548,791.0,9.914,23.826,2.867,142.0,0.0,0,0.0,37.540
70,2014,3,Tierra Del Fuego,21.840,3.469,650,1,2.832,28.792,12.0,336.0,32.348,2.0,0.0,0.0,0,0.0,32.698
71,2014,3,Tucumán,131.739,97,117,13,100.0,132.066,6.0,32.716,84.668,14.101,559.0,4.0,0,0.0,132.054
72,2014,4,Buenos Aires,1.575.978,1.070.135,120.528,17.728,32.038,2.816.407,8.226,132.937,2.250.445,203.62,104.322,997.0,5.406,0.0,2.705.954
73,2014,4,Capital Federal,455.785,840.224,17.155,1.962,15.394,1.330.520,2.698,62.896,1.038.269,123.451,95.772,890.0,7.997,0.0,1.331.972
74,2014,4,Catamarca,25.192,241,16,- 0,44.0,25.493,21.0,8.047,14.093,2.91,421.0,0.0,1,0.0,25.493
